skill_tree,min_points,max_points
Stun,0,8
Paralysis,0,5
Sleep,0,5
Poison,0,5
Fortitude,0,7
Anti-Theft,0,10
Mud/Snow,0,7
Antiseptic,0,7
Quake Res,0,7
Heat Res,0,10
Cold Res,0,10
Attack,0,4
Expert,0,4
BombStrUp,0,6
Horn,0,6
Gunnery,0,6
Defense,0,4
Fire Res,0,6
Water Res,0,6
ThunderRes,0,6
Ice Res,0,6
Dragon Res,0,6
Health,0,8
SpeedSetup,0,8
Hunger,0,8
Gluttony,0,10
Backpackng,0,8
Gathering,0,10
HiSpdGathr,0,8
Whim,0,10
Wide Area,0,8
Psychic,0,8
Combo Rate,0,10
Shot Mix,0,8
LastingPwr,0,8
Perception,0,8
DungMaster,0,8
Huntsman,0,8
Sense,0,8
NormalSAdd,0,6
PierceSAdd,0,6
PelletSAdd,0,6
Crag S Add,0,6
ClustS Add,0,6
CutterSAdd,0,6
Precision,0,6
ParalyCAdd,0,7
SleepCAdd,0,8
PoisonCAdd,0,8
PowerCAdd,0,7
RazorCAdd,0,8
FatigeCAdd,0,8
